N,df,collapse_rate
100,0.5,0.967
100,0.8214285714285714,0.699
100,1.1428571428571428,0.39825
100,1.4642857142857144,0.212
100,1.7857142857142858,0.1045
100,2.107142857142857,0.0405
100,2.428571428571429,0.02075
100,2.75,0.01175
100,3.0714285714285716,0.00625
100,3.3928571428571432,0.003
100,3.7142857142857144,0.00125
100,4.0357142857142865,0.0005
100,4.357142857142858,0.00025
100,4.678571428571429,0.00025
100,5.0,0.0
300,0.5,0.99375
300,0.8214285714285714,0.8715
300,1.1428571428571428,0.624
300,1.4642857142857144,0.3735
300,1.7857142857142858,0.2125
300,2.107142857142857,0.10925
300,2.428571428571429,0.04875
300,2.75,0.0285
300,3.0714285714285716,0.01075
300,3.3928571428571432,0.00625
300,3.7142857142857144,0.00325
300,4.0357142857142865,0.00175
300,4.357142857142858,0.00075
300,4.678571428571429,0.00075
300,5.0,0.0
1000,0.5,0.99975
1000,0.8214285714285714,0.967
1000,1.1428571428571428,0.815
1000,1.4642857142857144,0.56525
1000,1.7857142857142858,0.35575
1000,2.107142857142857,0.21
1000,2.428571428571429,0.11725
1000,2.75,0.0615
1000,3.0714285714285716,0.0315
1000,3.3928571428571432,0.018
1000,3.7142857142857144,0.00925
1000,4.0357142857142865,0.00375
1000,4.357142857142858,0.0015
1000,4.678571428571429,0.002
1000,5.0,0.0005
